feature,gain
tnx_chg_1m,0.18783800303936005
mom_3m,0.17926600575447083
dist_ma200,0.1747109591960907
macd_hist,0.16393481194972992
mkt_ret_1m,0.1579602211713791
vix_chg_1m,0.1560422033071518
rsi_14,0.1559717059135437
vol_63d,0.15418940782546997
mom_12m,0.1527375876903534
rank_mom_1m,0.13635732233524323
rank_vol_21d,0.12122467905282974
mdd_12m,0.11894340813159943
vol_21d,0.11893948912620544
mom_12_1,0.11460696905851364
mom_1m,0.10660931468009949
dist_ma50,0.10533776134252548
mom_6m,0.10132548958063126
rank_mom_12m,0.08542363345623016
lag_target_ret_1m,0.07783490419387817
