,AAPL,MSFT,AMZN,GOOGL,JPM,JNJ,XOM,NVDA,XLK,XLF,XLE,XLV,GLD,TLT,IEF,LQD,BTC-USD,ETH-USD
2020-02-28,0.2,0.06320513991815832,0.0,0.0,0.0,1.1816658890709629e-17,0.0,0.2,4.0060125483957026e-17,1.089508704409695e-17,2.6412730637795736e-17,2.104592988399249e-17,0.0,0.2,0.0,0.0,0.2,0.13679486008184155
2020-03-31,0.1143759301459752,0.0,0.0,7.165156203743136e-18,1.4949308829275282e-17,0.0,0.0,0.10474590922744864,6.351881327214772e-17,0.0,0.0,0.0,0.18087816062657636,0.1999999999999999,0.19999999999999993,0.0,0.1999999999999999,2.6406386975070855e-17
2020-04-30,0.1999999999999999,6.824439307396415e-19,0.0,6.03461592697336e-17,2.1536766985352535e-17,8.442263001207777e-18,0.0,0.0602069317968536,2.9208952726687176e-17,2.799483307849257e-17,4.2494925885202634e-17,1.6236063490186366e-19,0.19999999999999996,0.2,0.1397930682031462,6.483627362694158e-17,0.19999999999999996,1.737717576138065e-16
2020-05-29,0.19999999999999996,0.0,0.0706067578092381,0.0,2.1978131674552397e-17,0.0,4.16228346421181e-17,0.19999999999999996,3.068012229959407e-17,4.3606956736351706e-17,0.0,0.0,0.19999999999999996,0.19999999999999996,0.12939324219076204,0.0,0.0,0.0
2020-06-30,0.19999999999999982,9.003337579072365e-17,0.1564789724880527,2.403460171286956e-16,0.0,1.193454380392102e-16,0.0,0.19999999999999973,1.1708801140794142e-16,8.210933325472225e-18,0.0,1.4138674805908405e-16,0.1999999999999998,0.19999999999999973,0.043521027511947495,0.0,1.7069125915764974e-17,0.0
2020-07-31,0.19999999999999996,0.0,0.12466116665070201,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0,0.0,0.0,0.07533883334929813
2020-08-31,0.19999999999999996,0.0,0.19999999999999996,4.8546122861510626e-18,7.560040803226707e-18,5.32281646763603e-17,0.0,0.19999999999999996,0.0,0.0,6.122079568610715e-17,0.0,1.1102230246251563e-16,0.19999999999999996,0.0,0.0,2.869094116267994e-17,0.19999999999999996
2020-09-30,0.1929680618419606,0.0,0.19999999999999987,0.0,4.0202056285498246e-17,0.0,0.0,0.19999999999999987,0.0,2.302995425312289e-17,1.0692114747482493e-16,0.0,0.07465352392246281,0.19999999999999987,1.3717038808717047e-16,0.0,0.0,0.13237841423557656
2020-10-30,0.010554722655880639,1.4556969225711956e-16,0.20000000000000004,3.3087608040825174e-17,5.648833341000222e-17,0.0,0.0,0.19999999999999998,0.0,3.263860501230532e-17,1.1449879913668495e-18,0.0,0.12802001429287616,0.20000000000000004,0.06142526305124287,2.3832799767465282e-17,6.570429848865993e-17,0.19999999999999996
2020-11-30,0.1158076131161549,6.370734188158221e-17,0.19999999999999984,8.709856677283249e-17,0.0,0.0,0.0,0.19999999999999993,5.3321335361360186e-17,2.841100047724688e-17,0.0,1.56697647208329e-17,1.2445649886956195e-17,0.08419238688384513,0.0,0.0,0.2,0.19999999999999998
2020-12-31,0.19999999999999996,1.5825394571314486e-17,0.19999999999999996,1.5253914282207406e-17,2.4471353299190444e-17,2.0086999388983192e-17,2.291532338432409e-17,0.19999999999999993,0.0,2.0723617601441324e-17,0.0,1.4481242342240383e-17,4.4938316184078547e-17,0.0,6.854466036991739e-17,1.245221937126374e-17,0.1999999999999999,0.19999999999999996
2021-01-29,0.19999999999999982,7.355478232633918e-19,0.19999999999999993,0.0,1.8228617474216678e-18,8.883410156109025e-17,0.0,0.19999999999999993,1.3530843112619095e-16,1.988173756939662e-17,0.0,7.535354382392742e-19,0.0,6.919666729967081e-17,8.561053907740666e-18,2.1198369847165908e-17,0.19999999999999998,0.2
2021-02-26,0.19999999999999987,0.0,0.13240005390976745,0.0,0.06759994609023248,1.779825776342035e-17,0.0,0.2,1.9930872311999134e-16,2.833214263187341e-17,0.0,0.0,8.264066157870331e-18,2.9958412987998816e-17,1.2275146726882182e-17,0.0,0.2,0.2
2021-03-31,0.1831448610943606,0.0,0.0,0.0,0.16014727944495621,0.0,0.0,0.08031923812854658,0.0,0.0,0.17638862133213704,0.0,0.0,0.0,0.0,0.0,0.19999999999999984,0.19999999999999984
2021-04-30,0.13541198640342386,0.0,6.275571462397429e-17,0.0,0.19999999999999987,0.0,9.135332833974835e-17,0.19999999999999984,5.945057788110545e-17,0.06458801359657632,7.317368017627812e-17,7.699512703646456e-17,1.052717419076696e-17,1.2951419449772266e-16,7.211986206332534e-17,4.388867138235045e-17,0.1999999999999998,0.1999999999999997
2021-05-28,0.0,0.0,2.565157123845905e-17,2.951367890097779e-19,0.19999999999999996,1.4403017921689987e-17,0.0,0.19999999999999996,0.0,0.19999999999999996,0.0,6.454631440016175e-17,0.0,2.2565726637002207e-17,0.0,3.2824806921083935e-17,0.19999999999999996,0.19999999999999996
2021-06-30,3.673330705209847e-17,2.1190734000225837e-17,1.0318201675894591e-17,0.0755056194646452,0.19999999999999976,1.4852900992007982e-17,3.766598263802207e-17,0.19999999999999987,6.458092833176723e-17,0.1244943805353548,8.56532881317639e-17,6.090304777838271e-17,4.6378807296653636e-17,0.0,2.0416791499283358e-17,3.514481721362096e-18,0.19999999999999993,0.19999999999999993
2021-07-30,5.397563308439356e-17,3.3021411870933487e-17,0.0,0.19999999999999984,0.19999999999999984,0.0,5.386977668480572e-17,0.19999999999999996,8.399013769237819e-18,2.3852447794681093e-16,8.104229066107328e-17,0.0,0.0,0.0,1.9711147538905508e-17,0.0,0.19999999999999996,0.19999999999999996
2021-08-31,0.0,7.445379364031105e-17,0.0,0.2,0.19999999999999998,7.9852290598935395e-19,1.8537640845626628e-16,0.040310962118706134,0.0,0.15968903788129366,5.537182469912995e-17,3.707526476950274e-18,0.0,0.0,9.201459793173597e-18,0.0,0.2,0.19999999999999993
2021-09-30,0.0,0.0,0.0,0.11832036495827541,0.20000000000000007,0.0,0.19999999999999984,0.0,0.0,0.0,0.08167963504172462,0.0,0.0,0.0,0.0,0.0,0.20000000000000007,0.20000000000000007
2021-10-29,0.0,2.5982654803242047e-16,0.0,0.06896231373598215,0.046546815739594655,1.111986452875042e-18,0.19999999999999993,0.08449087052442311,0.0,1.1044877900741346e-16,0.19999999999999996,0.0,2.94911461898812e-17,8.601272049303095e-18,1.9466526868375172e-17,1.9767661962379476e-17,0.19999999999999996,0.19999999999999984
2021-11-30,0.0,0.0,4.738679086818213e-17,0.19999999999999996,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0,3.975384968371442e-17,2.639310376322535e-17,0.0,5.3172262349687413e-17,3.7258639833316136e-17,0.0,1.0726254260904055e-17,0.19999999999999996,0.19999999999999996
2021-12-31,0.0,0.1438320314760552,0.0,0.19999999999999987,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0,5.949546855981221e-17,0.056167968523945094,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996
